gene_symbol|functions|functions_reference|processes|processes_reference|components|components_reference
NBPF11|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Cytoplasm (GO:0005737)|16079250
NBPF10|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
CNNM1|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Plasma membrane (GO:0005886)|12657465;14723793
CNNM2|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|12657465
CNNM3|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|12657465
CNNM4|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|12657465
RPH3A|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Cytoplasmic vesicle (GO:0016023)|8060298;7707875;12937130
NSUN5C|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
MATN1|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|2246248
MATN2|Extracellular matrix structural constituent (GO:0005201)|12180907|Cell growth and/or maintenance (GO:0008151)|12180907|Extracellular matrix (GO:0005578)|12180907;11124542
MATN3|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|11479597
MATN4|Extracellular matrix structural constituent (GO:0005201)|11279097|Cell growth and/or maintenance (GO:0008151)|9827539|Extracellular (GO:0005576)|11279097
NSUN5B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
PIP5KL1|Receptor signaling complex scaffold activity (GO:0030159)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasmic vesicle (GO:0016023)|14701839
DLAT|Acyltransferase activity (GO:0008415)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Mitochondrion (GO:0005739)|3174635
-|Cytokine activity (GO:0005125);T cell receptor activity (GO:0004894);Transcription factor activity (GO:0003700);Catalytic activity (GO:0003824);Oxidoreductase activity (GO:0016491);Transporter activity (GO:0005215);Translation regulator activity (GO:0045182);Glucosidase activity (GO:0015926);Isomerase activity (GO:0016853);RNA binding (GO:0003723);Transcription regulator activity (GO:0030528);Adenylate cyclase activity (GO:0004016);Auxiliary transport protein activity (GO:0015457);Molecular function unknown (GO:0005554);Aminopeptidase activity (GO:0004177);Receptor activity (GO:0004872);Guanyl-nucleotide exchange factor activity (GO:0005085);Calcium ion binding (GO:0005509);Signal transducer activity (GO:0004871);Ubiquitin-specific protease activity (GO:0004843);Cell adhesion molecule activity (GO:0005194);Peptidase activity (GO:0008233);Serine-type peptidase activity (GO:0008236);GTPase activator activity (GO:0005096);Protein serine/threonine kinase activity (GO:0004674);Hydrolase activity (GO:0016787);Metallopeptidase activity (GO:0008237);Carboxypeptidase activity (GO:0004180);Chromatin binding (GO:0003682);Lipid phosphatase activity (GO:0042577);Receptor signaling complex scaffold activity (GO:0030159);Cytoskeletal anchoring activity (GO:0016343);DNA binding (GO:0003677);Apoptotic protease activator activity (GO:0016505);Structural constituent of ribosome (GO:0003735);Growth factor binding (GO:0019838);Methyltransferase activity (GO:0008168);Structural constituent of cytoskeleton (GO:0005200);Structural molecule activity (GO:0005198);Protein tyrosine/serine/threonine phosphatase activity (GO:0008138);Receptor regulator activity (GO:0030545);DNA repair protein (GO:0003685);Transferase activity (GO:0016740);Antiporter activity (GO:0015297);Cytoskeletal protein binding (GO:0008092);Protein binding (GO:0005515);Aspartic-type signal peptidase activity (GO:0009049);Acyltransferase activity (GO:0008415);Kinase binding (GO:0019900);Ribonucleoprotein (GO:0003733);Caspase activator activity (GO:0008656);Ubiquitin binding (GO:0043130);Galactosyltransferase activity (GO:0008378);Lipid kinase activity (GO:0001727);Kinase activity (GO:0016301);Phosphoric diester hydrolase activity (GO:0008081);Sulfotransferase activity (GO:0008146);Acid phosphatase activity (GO:0003993);Nucleotide binding (GO:0000166);G-protein coupled receptor activity (GO:0004930);Chaperone activity (GO:0003754);Growth factor activity (GO:0008083);Carboxy-lyase activity (GO:0016831);Aminomethyltransferase activity (GO:0004047);DNA-directed DNA polymerase activity (GO:0003887);Vitamin or cofactor transporter activity (GO:0015223);Ion transporter activity (GO:0015075);Phospholipase activity (GO:0004620);Protein serine/threonine phosphatase activity (GO:0004722);GTPase activity (GO:0003924);Defense/immunity protein activity (GO:0003793);Antigen binding (GO:0003823);Protease inhibitor activity (GO:0030414);Protein kinase binding (GO:0019901);Helicase activity (GO:0004386);Exonuclease activity (GO:0004527);Peptide hormone (GO:0005180);DNA-directed RNA polymerase activity (GO:0003899);Receptor binding (GO:0005102);Phosphorylase activity (GO:0004645);Carbohydrate binding (GO:0030246);Receptor signaling protein activity (GO:0005057);Metal ion binding (GO:0046872);Transmembrane receptor activity (GO:0004888)|1791839;9874765;12107178;11159353;15155468;11418668;12297045;11078522;9405624;16330770;16839881;14617774;17611281;16818234;15456940;10753883;15735698;16098038;16996621;16807400;9535873;12139484;15385547;16189514;16713569;15565177;15944415;11861769;9299445;8592474;17353931;16487927;15972818;17170135;17475902;17129779;16143108;17156779;15107846;10814712;10631324;12766176;16257966;12788921;12036295;10606266;8038210;15574431;14764602;15674732;11839721;9642261;15851471;12446804;16710767;15944200;16790440;16720571;15312648;17538884;2286373;12773569;16200078;10922053;16566820;8354278;17353277;9420331;11003662;16263792;15273251;16990250;15317751;16227571|Cell proliferation (GO:0008283);Cell differentiation (GO:0030154);Signal transduction (GO:0007165);Hemopoiesis (GO:0030097);Immune response (GO:0006955);Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219);Metabolism (GO:0008152);Energy pathways (GO:0006091);Protein metabolism (GO:0019538);Cell communication (GO:0007154);Apoptosis (GO:0006915);Biological_process unknown (GO:0000004);Regulation of gene expression, epigenetic (GO:0040029);Transport (GO:0006810);Regulation of development (GO:0050793);Regulation of signal transduction (GO:0009966);Cytoskeletal anchoring (GO:0007016);Mitosis (GO:0007067);Cell growth and/or maintenance (GO:0008151);Transcription (GO:0006350);Muscle development (GO:0007517);Regulation of cellular process (GO:0050794);Amino acid transport (GO:0006865);Embryonic development (GO:0009790);Hormone secretion (GO:0046879);Ion transport (GO:0006811);Protein folding (GO:0006457);Proteolysis and peptidolysis (GO:0006508);Regulation of cell cycle (GO:0000074);Cell motility (GO:0006928);ER organization and biogenesis (GO:0007029);Protein transport (GO:0015031);Lipid metabolism (GO:0006629);Cytoskeleton organization and biogenesis (GO:0007010);Electron transport (GO:0006118);Cell-cell signaling (GO:0007267);Cell adhesion (GO:0007155);RNA metabolism (GO:0016070);Cell migration (GO:0016477);Vitamin/cofactor transport (GO:0015875);Regulation of cell shape (GO:0008360);Cell development (GO:0048468);Chromosome organization and biogenesis (sensu Eukarya) (GO:0007001);Cell organization and biogenesis (GO:0016043);Calcium-mediated signaling (GO:0019722);Locomotory behavior (GO:0007626);Reproductive behavior (GO:0019098);Negative regulation of enzyme activity (GO:0043086);Drug metabolism (GO:0017144);Meiosis (GO:0007126);Cell-cell adhesion (GO:0016337);Cell fate commitment (GO:0045165);Inflammatory response (GO:0006954);G-protein coupled receptor protein signaling pathway (GO:0007186)|1791839;8981357;10857771;9874765;12107178;11159353;15155468;12707303;12297045;15601824;9405624;15611091;16330770;16839881;14617774;17611281;16049101;15389287;16818234;15456940;12556481;15735698;16357211;16996621;16807400;11278576;15385547;12139484;12470661;9205841;17192411;15565177;10048485;15944415;11861769;9299445;8592474;9455477;9628581;11214970;16487927;15972818;17170135;17002884;17475902;17446347;17129779;11750097;15107846;16982625;10814712;10631324;12477976;12766176;15930302;15615774;16257966;15155745;12788921;12036295;16895901;15588584;14985129;15574431;14764602;12971969;15851471;12446804;16710767;17141156;15944200;16720571;16574794;15312648;16926187;17538884;2286373;16683055;12773569;10922053;16566820;12761501;9473515;11003662;15047173;11406556;11602350;16990250;15317751;16227571|Extracellular (GO:0005576);Nucleus (GO:0005634);Mitochondrion (GO:0005739);Cytoplasm (GO:0005737);Endoplasmic reticulum (GO:0005783);Nucleolus (GO:0005730);Plasma membrane (GO:0005886);Secretory granule (GO:0030141);Apical membrane (GO:0016327);Lysosome (GO:0005764);Ribosome (GO:0005840);Chromosome (GO:0005694);Mitochondrial membrane (GO:0005740);Perinuclear region (GO:0048471);Golgi membrane (GO:0000139);Axon (GO:0030424);Sarcoplasmic reticulum (GO:0016529);Golgi apparatus (GO:0005794);Endosome (GO:0005768);Brush border (GO:0005903);Integral to membrane (GO:0016021);Late endosome (GO:0005770);Centrosome (GO:0005813);Cytosol (GO:0005829);Cytoskeleton (GO:0005856);Microsome (GO:0005792);Cell projection (GO:0042995);Intracellular vesicle (None);Vesicle (None);Microtubule (GO:0005874);Integral to plasma membrane (GO:0005887);Microtubule cytoskeleton (GO:0015630);Cell junction (GO:0030054);Secreted (None);Cell surface (GO:0009986)|8086034;1733926;12790839;14634568;8397199;11980563;9878551;7219534;6251383;8240356;11925565;12819782;7635146;9353279;12895599;10518217;9874775;12475901;9874765;10364255;12107178;10958650;12860203;11371646;12732850;11701125;15635413;11790298;12436109;11056387;10409430;11880645;11805147;11955434;12226101;11418668;15175154;12032355;12297045;12135983;12526791;12538848;11782390;11290418;11733047;12097487;11641781;14550261;11175744;14706636;10206990;11078522;10871379;11801738;9469821;12730698;12540842;12886250;12775843;9399956;16330770;16839881;16622419;16157705;15656992;16750881;17611281;16049101;15389287;15855039;16818234;15456940;11751861;9794794;12556481;12536145;10753883;16381901;11256614;15735698;16807400;15069201;3921850;15922297;1512287;9478999;12438416;2160982;11278576;9013775;11500380;15998642;12077416;11798190;12220514;8491376;11942626;8862517;12470661;14734546;9655484;14623296;10681448;10382743;11030628;12019168;12145278;12538761;12543779;10562286;16413547;10833526;12881431;12896982;15302935;15128042;12612062;15530430;15342491;15185750;12361598;10341208;12114544;10606270;12032086;12417735;17192411;15565177;15334068;16306228;12446672;11717310;15302887;12650639;12324459;12189208;12874025;15019998;14657239;10625663;7799938;12815463;11461075;12082552;11042189;16188874;11076860;9305758;9660755;16199891;10760272;10903324;11754963;11937264;12128288;2350438;12663463;10749872;11750065;12446789;12819203;12857875;12454018;15276201;11735219;12930902;12766176;15358210;16143467;12612053;15625700;9299445;7829526;8885239;8592474;10873569;17105447;12799365;12805220;17170135;17002884;17475902;17446347;16143108;17129779;15118098;11750097;15527968;11382755;12117771;15475357;11839807;15473918;11719440;10931945;15150260;11854271;15146077;16982625;10814712;11861531;11602244;12707301;14551139;15280379;12486131;15069058;15520407;10400745;10648427;15369674;14573622;11356193;11922608;15338056;15048984;15284855;10631324;12565863;12907687;15723337;10585768;11182770;11161787;10581169;10690527;15159402;10998417;11150334;14971036;11076848;12019145;15615774;14532271;11266467;15067004;14506264;15155745;12719432;15563450;10092851;11350957;9395502;12163023;12920129;11340635;14750979;11687586;9756947;15713436;10601334;10757789;10668799;12080051;15567149;10878360;14676822;10534768;7720729;16585525;11781156;17027006;14985129;11478809;15881666;14764602;12971969;17141156;15312648;15722956;17338636;12773569;16200078;16566820;16389068;17353277;9420331;11003662;11602350;16990250;15317751
MYEF2|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|2601707
KIAA1919|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886)|12590146
KIAA1913|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
DLC1|GTPase activator activity (GO:0005096)|-|Regulation of cell proliferation (GO:0042127);Apoptosis (GO:0006915);Regulation of cell growth (GO:0001558)|14661059;12813468;14647417;12545165;12645648|Cytoplasm (GO:0005737)|10844022;14647417
PGPEP1|Cysteine-type peptidase activity (GO:0008234)|-|Protein metabolism (GO:0019538)|-|Cytoplasm (GO:0005737)|12030812;12651114;2575716
T|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|1516477
PILRA|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10903717
PILRB|Receptor activity (GO:0004872)|12021780|Cell communication (GO:0007154);Signal transduction (GO:0007165)|12021780|Plasma membrane (GO:0005886)|10660620;12021780
KRTAP9-4|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoskeleton (GO:0005856)|-
KRTAP9-3|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoskeleton (GO:0005856)|-
SORD|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|8487505
FBF1|Receptor signaling complex scaffold activity (GO:0030159)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|10978533
ADHFE1|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
NNMT|Methyltransferase activity (GO:0008168)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|8575745;9804963;8845860
KRTAP9-2|Cytoskeletal protein binding (GO:0008092)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoskeleton (GO:0005856)|-
STOX2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
L1TD1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
SOS1|Guanyl-nucleotide exchange factor activity (GO:0005085)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|11560919;9447973
SOS2|Guanyl-nucleotide exchange factor activity (GO:0005085)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|9372945
TRAT1|Receptor signaling complex scaffold activity (GO:0030159)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|9687533
SDCCAG8|Molecular function unknown (GO:0005554)|-|Cell growth and/or maintenance (GO:0008151)|-|Centrosome (GO:0005813);Cytoplasm (GO:0005737)|12559564
SDCCAG3|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
SDCCAG1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634)|9610721
