gene|cancer
FYN|
BAK1|
SPI1|acute myeloid leukemia;myeloid leukemia
MYCN|neuroblastoma
BRAF|melanoma;colon;glioma;lung;sarcoma;ovarian;breast;liver;thyroid
SKI|schwann cell development;myelination
TBC1D3B|prostate
ZSCAN22|
CRKL|chronic myelogenous leukemia
BRD4|
MET|lung;liver;renal cell carcinoma;hepatocellular carcinoma
LPSA|lipoma
KLF6|chronic lymphocytic leukemia;prostate;gastric
AKT1|breast;thyroid;papillary thyroid;colon;ovarian;gastric
AKT2|pancreatic;ovarian
AKT3|
ERBB2|breast;ovarian;gastric;prostate;lung;glioblastoma
ERBB3|bladder;lung
ERBB4|bladder
PDGFA|
PDGFB|glioblastoma;meningioma
WT1|wilms' tumor
NR2F1|
NR2F6|
MDM2|
ANPEP|
RARA|
RARB|hepatocellular carcinoma
RARG|
COAS1|
COAS2|
COAS3|
PIM1|prostate;leukemia
PIM2|
PIM3|pancreatic
SRC|colon
YES1|lymphoma
ARMET |pancreatic
CTTN|
NME1|melanoma;myeloid leukemia
HKR1|
PDZD4|
HKR3|
FOXG1|
PAEP|
ACO1|
KIT|mastocytosis;leukemia;gastrointestinal
PIWIL2|
YAP1|liver;prostate
THPO|myeloproliferative leukemia
NUP214|t-cell acute lymphoblastic leukemia
ZBTB7|leukemia
EPHA1|
FGFR1OP|chronic myelogenous leukemia-like myeloid hyperplasia;hodgkin lymphoma
THRA|papillary thyroid;pituitary adenoma
THRB|papillary thyroid;small cell lung carcinoma
IRF4|multiple myeloma
IRF5|
PAI1|
TLX1|t-cell acute lymphoblastic leukemia
TBC1D3|
TBC1D1|
CBL|acute myeloid leukemia
MCF2L|
MOS|renal cell carcinoma;acute myeloid leukemia;burkitt lymphoma
CASP1 |leukemia;lymphoma
L1CAM|
MPL|acute leukemia
GCCR|
PLCL1|small cell lung carcinoma
IL3|acute lymphoblastic leukemia
MAD1L1|
RASSF5|
RASSF3|
CSF2RB|leukemia
PTGS2|breast;colon;cervical
MERTK|
BCL11A|hodgkin lymphoma
FOXM1|
MRG|
NTRK1|thyroid;acute myeloid leukemia
WNT5A|melanoma
C6ORF173|
