gene|cancer
IL24|
MINPP1|thyroid
DAPK1|bladder
LRP1B|non-small cell lung carcinoma
MYCN|lung
BRAF|colon;glioma;lung;breast;ovarian;liver;bladder;gastric;thyroid
MCC|colon
NKX6-2|oligodendroglioma
BRAP|
CD82|prostate;breast;lung;bladder;pancreatic
MAPRE3|
VBP1|renal cell carcinoma
SEZ6L|non-small cell lung carcinoma
SESN1|
MAPRE2|
PPP1R12A|
CD8A|prostate;prostatic adenocarcinoma
CLTCL1|meningioma
PTGES|colon
LDB1|
PMAIP1|t-cell leukemia
YEATS4|
MIRN16-1|breast
TLN1|
CAV1|
MTCO1|colon
CAV2|
FBXW5|
FBXW7|ovarian;breast;colon
DDB2|
ALOX15|
BTG2|
TSPAN32|
BTBD14B|ovarian
HYAL1|small cell lung carcinoma
DNMT1|bladder;breast;colon;intestinal
HYAL3|lung
KLF6|prostate;gastric
HYAL2|lung
PINX1|
GRLF1|glioma
WT1|lung
AKT1|breast;thyroid
BANP|
PDGFB|
LGALS12|
FANCC|
EI24|
MDM2|
DFFB|
HIF1A|kidney
BAP1|breast
NBS1|acute lymphoblastic leukemia
PEG3|glioma
EXTL1|
CDK2AP1|oral
ID2|
ID3|
PPM1D|breast
RCV1|
CTR9|myeloid leukemia
DBC1|bladder
YY1|
ID4|
CDKN2A |glioma;non-small cell lung carcinoma;leukemia;melanoma;esophageal;gastric;bladder
CSMD1|head;neck
PDCD4|
TJP1|
C20ORF1|lung
SPP1|
BEX1|glioma
BEX2|glioma
SEC14L1|breast
RBM8A|
PLAGL1|ovarian
PRDX1|
CHD5|
CDC25A|
RPS29|colon
AGRN|
SRS|testicular
RNF2|
RNF6|escc
FBXL10|
FBXL13|myeloid leukemia
ZNF174|
PTCH1|
NME1|nasopharyngeal carcinoma
NME2|breast
NME3|chronic myelogenous leukemia
KIF20A|myeloid leukemia
PTCH2|medulloblastoma;basal cell carcinoma
TSSC4|
ST2|
ST5|
PAF1|
ST7|prostate;breast;ovarian;colon
ST8|ovarian;breast
STARD13|
MTND1|
SOCS1|
KIT|
KRT9|palmoplantar keratoderma
ATF2|skin
CHFR|colon;head;neck
BECN1|breast;ovarian;prostate
AXUD1|lung;renal cell carcinoma;prostate;breast;cervical
RASL10B|
PTEN |prostate;breast;thyroid;endometrial;melanoma
USHBP1|
PCGF2|breast
RHOBTB2|breast
IRF1|gastric
SLC39A3|prostate
SLC39A2|prostate
FAM107A|renal cell carcinoma
EPHB2|colon;prostate
CCDC136|nasopharyngeal carcinoma
GLTSCR1|
GLTSCR2|
DHRS9|
MOBKL1A|
MOBKL1B|
MAPKAPK3|small cell lung carcinoma
RBBP8|breast
RBBP9|glioblastoma;acute lymphoblastic leukemia
RBBP6|
DLEC1|lung;esophageal;kidney
NOL7|cervical
SMAD2|colon
SMAD3|colon
SMAD4|colon;epithelial;gastrointestinal;pancreatic
HEPACAM|breast
RPH3AL|medulloblastoma
TNFRSF10A|liver
TNFRSF10B|head;neck;liver;colon;ovarian
RASSF5|
RASSF4|
RASSF2|
RASSF1|lung;breast;cervical
TSC1|
TSC2|renal cell carcinoma
BTRC|colon
SYK|breast
BCL11B|
RNF167|
LRRC4|glioblastoma
SDHD|
ABR|medulloblastoma
NTRK2|
MRO|
RGS16|
GAS11|breast;prostate
SACM1L|
BMPR1A|
CYBA|
DP2.5|colon;thyroid;breast
CDH1|colon;gastric;breast
MYO18B|lung
PERP|melanoma
HRPT2|parathyroid
HIPK2|
STAT5A|
ZMYND10|lung
MSMB|prostate
PPAN|myeloid leukemia
KIF1B|
RNF139|thyroid;kidney
FOXP1|lymphoma
ING1|breast
ING2|
ING3|head;neck
ING4|breast
FOXP3|breast
ING5|
COPS5|
KLK10|breast
KIF27|acute myeloid leukemia
FGF3|
BCL10|
LHX9|
FAM123B|
ACY1|
PRF1|lymphoma
E4F1|
INGX|breast
USP7|
S100B|
RBAK|retinoblastoma
INHA|prostate
WTAP|
CDK4|melanoma
SMARCB1|
VIL2|osteosarcoma
PRG1|
PRG2|
PRG3|
PRG4|
PIK3CG|colon
CDH19|
BRCA1|breast;ovarian;prostate;colon;peritoneal
BRCA2|breast;ovarian;peritoneal;coelomic epithelial
ARL11|
PIK3CA|breast;ovarian;cervical;colon;gastric;lung;thyroid
NEDD1|
H19|bladder
RASEF|acute myeloid leukemia
ANP32C|prostate
ANP32D|prostate
VEGF|thyroid
BLNK|b-cell acute lymphoblastic leukemia
CUTL1|
E2F1|
E2F2|
E2F3|
E2F4|
ST11 |pancreatic
GADD45GIP1|ovarian;cervical
MYC|colon;liver;lung
PDRG1|breast;prostate;bladder
BBC3|colon
DIRAS1|
CTDSPL|small cell lung carcinoma
DIRAS3|breast;ovarian
ELAC1|
BRCD1|breast
SYNGR4|glioma
IKBKG|
SUFU|
MST1|small cell lung carcinoma;renal cell carcinoma
RB1|inherited
UBE1L|small cell lung carcinoma
C16ORF3|breast;prostate
ALK |lymphoma
CHUK|
GZMA|
UBE2I|
FOLH1|prostate
UBE2S|
LYPD1|
TES|breast
VHL|hereditary;kidney
CYLD|
TGFB2|glioblastoma
XRN1|osteosarcoma
PAF|thyroid
SLC9A3R1|
TP53I3|colon
IGF2R|liver
PAX2|wilms' tumor
PAWR|
PAX3|
LZTS1|primary esophageal;prostate
LZTS2|prostate
NR5A1|wilms' tumor
SASH1|breast
PPP1CA|
PBK|breast
TCEB1|
TCEB2|
TCEB3|
HNF1A|
HNF1B|prostate
FRMD3|
EGLN3|
CBFA2T3|breast
EGLN1|
CTNNA1|lung
SFRP1|colon
HINT1|
HNRNPK|acute myeloid leukemia
RET|thyroid
HSPA9B|myeloid leukemia
AICDA|gastric
ABTB1|
LOH11CR2A|breast;ovarian
APC|thyroid;colon;non-small cell lung carcinoma;gastric;breast
CASP2|
APITD1|neuroblastoma
NEO1|colon
CASP8|lung;esophageal;gastric;colon;cervical;breast
CTNNB1|colon;breast;prostate
MEG3|
RBL1|
RBL2|
PTPN1|breast
PTPN3|
CDC2L1|
CDC2L2|
LOH18CR1|
TNFRSF1B |neuroblastoma
FOXO1A|prostate
RBM5|lung;breast
RARRES3|
CDKN1A|breast;colon;lung
CUL2|
CDKN1B|prostate;breast
CDKN1C|
C7ORF28|breast;cervical;hepatocellular carcinoma;lung;thyroid;gastric;renal cell carcinoma
STEAP3|
RBM6|lung
GAS1|
DLEU1|b-cell chronic lymphocytic leukemia
DLEU2|chronic lymphocytic leukemia
P4HA1|
NRAS|colon;papillary thyroid
DAB2IP|
CDKN2B|
CDKN2C|
CDKN2D|
PLK1|
SLC26A3|
FABP3|breast
GNAT1|lung
FOXO3A|breast
PTPN23|gastric;small cell lung carcinoma
ARHGEF4|colon
ATM|breast;kidney
NFKB1|breast
PHB|breast
NF1|brain
NF2|colon;breast
CYR61|non-small cell lung carcinoma
KANK1|renal cell carcinoma
PTPN14|colon
PTPN13|kidney;lung;brain
PTPN12|colon
MTA1L1|
RBPSUH|
MAFB|myeloid leukemia
PI5|breast;prostate
DEC1|prostate;testicular
ROBO1|lung;breast;kidney
IGSF4C|glioma;prostate
NUDT2|
IGSF4B|glioma
PTPRF|small cell lung carcinoma
PTPRG|colon;lung;breast;gastric
PTPRK|
SLC28A3|acute myeloid leukemia
PTPRO|lung
PTPRT|
SH3BP2|bladder
LMO4|breast
SUV39H2|
SUV39H1|
TUSC3 |prostate
ST13|
ST14|breast
IGSF4 |pancreatic
RB1CC1|breast
MEN1|hereditary
IFRD2|lung
CCNA2|hepatocellular carcinoma
AXIN1|colon
TP53|breast;ovarian;astrocytomas;bladder;medulloblastoma;neuroectodermal;osteosarcoma
STAT1|
TGIF|
STAT3|prostate
ABI3|
KIF13B|
EMX2|endometrial
NOTCH1|
LGI1|glioma;glioblastoma
ST3 |cervical
LGI3|
LGI4|
MTAP|leukemia
LGI2|
HDAC1|promyelocytic leukemia
RFWD2|
MTBP|
ATBF1|prostate
ZYX|
LATS1|
LATS2|
KSR1|
TCF7|
TP73|
EGR1|breast;prostate
DAB2|ovarian
FBXO31|breast
MXI1|prostate
AHRR|
PML|acute myeloid leukemia
HERC5|
CCND1|parathyroid adenoma;breast;colon;lymphoma;melanoma;prostate
IL17RD|breast
IFNB1|
S100A4|
FBXO47|
FAT|
FAT2|
TP73L |head;neck;lung
LARS2|
NOVA2|lung
RBX1|
ZNF277|
GRP17|
CCNG1|hepatocellular carcinoma
ACVR1B|pancreatic
OPCML|ovarian
TCF21|lung;head;neck
SLC38A3|lung
SMOH|carcinoma
RUNX2|leukemia
HTRA1|
ARID4A|breast
HGS|
TRIM36|renal cell carcinoma
KCTD11|medulloblastoma
DCC|colon;gastric
BIRC5|genitourinary;bladder;colon
FGFR3|epithelial;bladder
RMI1|acute myeloid leukemia
POU6F2|
TRIM24|
EPB41L3|meningioma
NEURL|
OVCA2|
LEO1|
BAX|colon;epithelial;prostate;breast
lung cancer|
TRIM13|b-cell chronic lymphocytic leukemia
SEPW1|glioma
BARD1|breast;ovarian;bladder
BMI1|breast
HK2|
DUSP16|
UBQLN1|acute myeloid leukemia
MOAP1|breast
TIMP2|melanoma
TIMP3|
PPP2R1B|lung;colon;breast;cervical;head;neck;ovarian;melanoma
MTUS1|
ovarian cancer|
TRAIP|
PIAS1|
RPL10|
INTS6|lung
PHF17|renal cell carcinoma
SGSM3|neuroblastoma;lung
TERT|
PRKAR1A|
EMX2OS|
SLC5A8|colon
CHEK2|sarcoma;breast;brain;colon;ovarian;lung;prostate;thyroid
PALB2|breast
TNFRSF18|
RECK|
MTSS1|bladder;breast;prostate
CC2D1A|
RECQL2|
LRDD|
HTATIP|prostate
SLC22A18|lung;breast
EXT1|methylation-deficient;leukemia;acute promyelocytic leukemia;acute lymphoblastic leukemia;nonmelanoma skin
EXT2|
PARK2|ovarian
JARID1B|prostate
PDCD1LG1|ovarian
G22P1|t-cell lymphoma
WFDC1|prostate;breast;hepatocellular carcinoma
WFDC5|
IKZF3|
PDGFRL|colon
SAI1|hereditary
CYB561D2|lung
C9ORF64|acute myeloid leukemia
SATB1|breast
AMFR|gastric
DAP3|
TMPRSS11A|esophageal
GKAP1|acute myeloid leukemia
UTRN|breast;lung;gastric
STK11|lung;papillary thyroid;melanoma;pancreatic;biliary;ovarian
MLH1|hereditary nonpolyposis colon
DVL1|
FHIT|breast;lung;head;neck
ANXA7|prostate
EP300|
TSG101|breast
EEF1E1|
PPARD|
TP53BP2|
TP53BP1|
JUP|colon;breast;ovarian
ETS2|breast
PINK1|neuroblastoma
LLGL1|
CREBL2|hematopoietic malignancies
TGFBR2|colon;gastric;endometrial
EHD2|
EHD3|
FRAP1|
EHD4|
CTCF|
KRAS|lung;colon;gastric;pancreatic;biliary
MPP1|
MPP2|ovarian
