hprd|gene_symbol|nuc_acc|pro_acc|entrez|omim|swissprot|name|synonyms
00001|ALDH1A1|NM_000689.3|NP_000680.2|216|100640|P00352|Aldehyde dehydrogenase 1|ALDC,ALDH1,PUMB1,
00002|FAU|NM_001997.3|NP_001988.1|2197|134690|P35544|FAU|-
00003|ALDH2|NM_000690.2|NP_000681.2|217|100650|P05091|Aldehyde dehydrogenase 2|ALDM,
00004|ALDH3A1|NM_000691.3|NP_000682.3|218|100660|P30838|Aldehyde dehydrogenase 3|ALDH3,
00005|ALDH1B1|NM_000692.3|NP_000683.3|219|100670|P30837|Aldehyde dehydrogenase 5|ALDH5,ALDHX,
00006|ACAT2|NM_005891.2|NP_005882.2|39|100678|Q9BWD1|Acetyl-CoA acetyltransferase 2|ACTL,
00007|CHRNA1|NM_001039523.1|NP_001034612.1|1134|100690|P02708|Acetylcholine receptor protein, alpha chain|ACHRA,CHNRA,
00008|CHRNE|NM_000080.2|NP_000071.1|1145|100725|Q04844|Nicotinic acetylcholine receptor, epsilon subunit|ACHRE,
00009|CHRNG|NM_005199.4|NP_005190.4|1146|100730|P07510|Cholinergic receptor, nicotinic, gamma polypeptide|ACHRG,
00010|ACHE|NM_015831.2|NP_056646.1|43|100740|P22303|Acetylcholinesterase|-
00011|ASCL1|NM_004316.2|NP_004307.2|429|100790|P50553|ASCL1|ASH1,
00012|ACO2|NM_001098.2|NP_001089.1|50|100850|Q99798|Aconitase, mitochondrial|-
00013|ACO1|NM_002197.1|NP_002188.1|48|100880|P21399|Aconitase, soluble|IREB1,
00014|ACRV1|NM_001612.4|NP_001603.1|56|102525|P26436|Acrosomal vesicle protein 1|-
00015|ACTC1|NM_005159.4|NP_005150.1|70|102540|P68032|Actin alpha, cardiac muscle|ACTC,
00016|ACTG2|NM_001615.3|NP_001606.1|72|102545|P63267|Actin gamma 2, smooth muscle enteric|ACTA3,ACTL3,ACTSG,
00017|ACTG1|NM_001614.2|NP_001605.1|71|102560|P63261|Actin gamma 1|ACTB,ACTG,
00018|FLNC|NM_001458.3|NP_001449.3|2318|102565|Q14315|Filamin C|ABPL,FLN2,
00019|ACTN2|NM_001103.1|NP_001094.1|88|102573|P35609|Actinin alpha 2|-
00020|ACTN1|NM_001102.2|NP_001093.1|87|102575|P12814|Actinin alpha 1|-
00021|ACVR1|NM_001105.2|NP_001096.1|90|102576|Q04771|Activin A receptor, type I|ACVRLK2,
00022|RFC4|NM_002916.3|NP_002907.1|5984|102577|P35249|Replication factor C4|-
